,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,Titres,corps civique,corporation,poele,prénomNN,nomNN,surnomNN,NomCompletNN
23,conseiller_des_forgerons,1426,Peter,Villinger,,,,echevinat,corporation_des_forgerons,,Peter,Vilinger,,Peter Vilinger
24,conseiller_des_tailleurs,1426,Johanns,Monschein,,,,echevinat,corporation_des_tailleurs,,Hanns,Monschin,,Hanns Monschin
25,conseiller_des_bateliers,1426,Johanns,Lumbart,,der jung,,echevinat,corporation_des_bateliers,,Hanns,Lumbart,,Hanns Lumbart der jung
26,conseiller_des_pelletiers,1426,Dielmann,Wingersheim,,,,echevinat,corporation_des_pelletiers,,Dielman,Wynngersheim,,Dielman Wynngersheim
27,conseiller_des_charpentiers,1426,Michel,,,,['zimerman'],echevinat,corporation_des_charpentiers,,Michel,,,Michel der zimerman
28,conseiller_des_crieurs_et_mesureurs_de_vin,1426,Fritsch,Volkmar,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,Fritsch,Volmar,,Fritsch Volmar
29,conseiller_des_cordonniers,1426,,Reimbolt,,,['meister'],echevinat,corporation_des_cordonniers,,,Reimbolt,,meister Reimbolt
30,conseiller_des_orfevres,1426,Andres,Schmalriem,,,,echevinat,corporation_des_orfevres,,Andres,Smalriem,,Andres Smalriem
31,conseiller_des_marchands_de_grains,1426,Ottemann,Frankenheim,,,,echevinat,corporation_des_marchands_de_grains,,Otteman,Franckenheim,,Otteman Franckenheim
32,conseiller_des_jardiniers,1426,Johanns,Kilwart,,,,echevinat,corporation_des_jardiniers,,Hanns,Kirwart,,Hanns Kirwart
33,conseiller_des_pêcheurs,1426,Johanns,Lamb,,,,echevinat,corporation_des_pêcheurs,,Hanns,Lamb,,Hanns Lamb
34,conseiller_des_barbiers_et_baigneurs,1426,Johanns,Müsinger,,,,echevinat,corporation_des_barbiers_et_baigneurs,,Hanns,Mùsinger,,Hanns Mùsinger
35,conseiller_des_sauniers,1426,Johanns,Messerer,,der jung,,echevinat,corporation_des_sauniers,,Hanns,Messerer,,Hanns Messerer der jung
36,conseiller_des_tisserands,1426,Johanns,Frei,,,,echevinat,corporation_des_tisserands,,Hanns,Frye,,Hanns Frye
37,conseiller_des_gourmets_et_courtiers,1426,Johanns,Hüter,,,,echevinat,corporation_des_gourmets_et_courtiers,,Hanns,Huͤter,,Hanns Huͤter
38,conseiller_des_charrons,1426,Ottemann,Pfluger,,,['meister'],echevinat,corporation_des_charrons,,Otteman,Pfluger,,meister Otteman Pfluger
39,conseiller_des_regrattiers_cordiers_et_fruitiers,1426,Bertsch,Villinger,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,Bertsch,Vilinger,,Bertsch Vilinger
40,conseiller_des_coltineurs_de_tonneaux,1426,Claus,Dürr,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,Claus,Dùrre,,Claus Dùrre
41,conseiller_des_constructeurs_de_bateaux,1426,Hug,Klige,,,,echevinat,corporation_des_constructeurs_de_bateaux,,Hug,Klye,,Hug Klye
42,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,1426,,Peter,"Gerichte, bei dem",,"['meister', 'olman']",echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,,Peter,by dem gerihte,meister Peter der olman by dem gerihte
