,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,Titres,corps civique,corporation,poele,prénomNN,nomNN,surnomNN,NomCompletNN
30,conseiller_des_orfevres,1433,Johanns,Stacheler,,,"['her', 'altammeister']",echevinat,corporation_des_orfevres,,Johans,Staheler,,her Johans Staheler altammeister
31,conseiller_des_marchands_de_grains,1433,Claus,Melbrühe,,,"['her', 'altammeister']",echevinat,corporation_des_marchands_de_grains,,Claus,Melbruͤge,,her Claus Melbruͤge altammeister
32,conseiller_des_jardiniers,1433,Jacob,Claue,,,,echevinat,corporation_des_jardiniers,,Jocob,Clowe,,Jocob Clowe
33,conseiller_des_pêcheurs,1433,Peter,Diebolt,,,,echevinat,corporation_des_pêcheurs,,Peter,Diebolt,,Peter Diebolt
34,conseiller_des_barbiers_et_baigneurs,1433,Heintz,Schüffel,"Eber, zum",,,echevinat,corporation_des_barbiers_et_baigneurs,,Heintz,Schùfel,zum Eber,Heintz Schùfel zum Eber
35,conseiller_des_sauniers,1433,Lienhart,Trachenfeils,,,,echevinat,corporation_des_sauniers,,Lienhart,Trachenfeils,,Lienhart Trachenfeils
36,conseiller_des_tisserands,1433,Johanns,Girbaden,,,,echevinat,corporation_des_tisserands,,Hans,Girbaden,,Hans Girbaden
37,conseiller_des_gourmets_et_courtiers,1433,Konrat,Schindeler,,,,echevinat,corporation_des_gourmets_et_courtiers,,Conrat,Schyndeler,,Conrat Schyndeler
38,conseiller_des_charrons,1433,Hug,Dreitzehn,,,"['her', 'altammeister']",echevinat,corporation_des_charrons,,Hug,Dritzehen,,her Hug Dritzehen altammeister
39,conseiller_des_regrattiers_cordiers_et_fruitiers,1433,Johanns,Lange,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,Hans,Lange,,Hans Lange
40,conseiller_des_coltineurs_de_tonneaux,1433,Johanns,Paulus,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,Hans,Paulus,,Hans Paulus
41,conseiller_des_constructeurs_de_bateaux,1433,Johanns,Hettemann,,,,echevinat,corporation_des_constructeurs_de_bateaux,,Hans,Hetteman,,Hans Hetteman
42,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,1433,Konrat,Kress,,,['mùller'],echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,Conrat,Kresse,,Conrat Kresse der mùller
