Recid,subid,Unnamed: 0,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps_civique,corporation,poele,page,colonne,ligne,AuthNameForename,Length
aves_aa_4R_auth_0017,"['aves_aa_4R_1400_0045', 'aves_aa_4R_1404_0045', 'aves_aa_4R_1408_0045']","[nan, nan, nan]","[1400, 1404, 1408]","['conseiller_des_orfevres', 'conseiller_des_orfevres', 'conseiller_des_orfevres']","['Peter Honowe', 'Peter Honowe', 'Peter Honowe']","['peter', 'peter', 'peter']","['honau', 'honau', 'honau']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_orfevres', 'corporation_des_orfevres', 'corporation_des_orfevres']","[nan, nan, nan]","[131, 135, 139]","[nan, nan, nan]","[8, 5, 7]","honau, peter",3
aves_aa_4R_auth_0018,"['aves_aa_4R_1400_0046', 'aves_aa_4R_1406_0045']","[nan, nan]","[1400, 1406]","['conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains']","['Ülrich Hünrer', 'Ülrich Hünrer']","['ulrich', 'ulrich']","['hühnerer', 'hühnerer']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains']","[nan, nan]","[131, 137]","[nan, nan]","[9, 3]","hühnerer, ulrich",2
aves_aa_4R_auth_0019,"['aves_aa_4R_1400_0047', 'aves_aa_4R_1404_0047', 'aves_aa_4R_1408_0047', 'aves_aa_4R_1413_0046', 'aves_aa_4R_1417_0048']","[nan, nan, nan, nan, nan]","[1400, 1404, 1408, 1413, 1417]","['conseiller_des_jardiniers', 'conseiller_des_jardiniers', 'conseiller_des_jardiniers', 'conseiller_des_jardiniers', 'conseiller_des_jardiniers']","['Andres Nattener', 'Andres Natteler', 'Andres Natteler', 'Andres Natteler', 'Andres Natteler']","['andres', 'andres', 'andres', 'andres', 'andres']","['nattener', 'natteler', 'natteler', 'natteler', 'natteler']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_jardiniers', 'corporation_des_jardiniers', 'corporation_des_jardiniers', 'corporation_des_jardiniers', 'corporation_des_jardiniers']","[nan, nan, nan, nan, nan]","[131, 135, 139, 144, 148]","[nan, nan, nan, nan, nan]","[10, 7, 9, 10, 13]","nattener, andres",5
aves_aa_4R_auth_0020,"['aves_aa_4R_1400_0048', 'aves_aa_4R_1404_0048']","[nan, nan]","[1400, 1404]","['conseiller_des_pêcheurs', 'conseiller_des_pêcheurs']","['Johanns Swicker', 'Hanns Swicker']","['johanns', 'johanns']","['schwicker', 'schwicker']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_pêcheurs', 'corporation_des_pêcheurs']","[nan, nan]","[131, 135]","[nan, nan]","[11, 8]","schwicker, johanns",2
aves_aa_4R_auth_0021,['aves_aa_4R_1400_0049'],[nan],[1400],['conseiller_des_barbiers_et_baigneurs'],['Heintzman Aler'],['heintz'],['aler'],[nan],[nan],[nan],['echevinat'],['corporation_des_barbiers_et_baigneurs'],[nan],[131],[nan],[12],"aler, heintz",1
aves_aa_4R_auth_0022,"['aves_aa_4R_1400_0050', 'aves_aa_4R_1402_0005', 'aves_aa_4R_1404_0050', 'aves_aa_4R_1406_0049', 'aves_aa_4R_1408_0005', 'aves_aa_4R_1410_0050', 'aves_aa_4R_1412_0050', 'aves_aa_4R_1414_0050', 'aves_aa_4R_1416_0050', 'aves_aa_4R_1418_0005', 'aves_aa_4R_1420_0037']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[1400, 1402, 1404, 1406, 1408, 1410, 1412, 1414, 1416, 1418, 1420]","['conseiller_des_sauniers', 'ammeister', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'ammeister', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'ammeister', 'conseiller_des_sauniers']","['her Ülrich Gosse', 'her Ülrich Gosse der ammeister', 'her Ülrich Gosse', 'her Ülrich Gosse', 'her Ülrich Gosse der ammeister', 'her Ülrich Gosse', 'her U?lrich Gosse', 'her Ulrich Gosse', 'her U?lrich Gosse', 'her U?lrich Gosse der ammeister', 'her U?lrich Gosse altammeister']","['ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich', 'ulrich']","['gosse', 'gosse', 'gosse', 'gosse', 'gosse', 'gosse', 'gosse', 'gosse', 'gosse', 'gosse', 'gosse']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[""['her']"", ""['her', 'ammeister']"", ""['her']"", ""['her']"", ""['her', 'ammeister']"", ""['her']"", ""['her']"", ""['her']"", ""['her']"", ""['her', 'ammeister']"", ""['her', 'altammeister']""]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_sauniers', nan, 'corporation_des_sauniers', 'corporation_des_sauniers', nan, 'corporation_des_sauniers', 'corporation_des_sauniers', 'corporation_des_sauniers', 'corporation_des_sauniers', nan, 'corporation_des_sauniers']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[131, 133, 135, 137, 139, 141, 143, 145, 147, 149, 151]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[13, 5, 10, 7, 5, 12, 10, 13, 14, 5, 37]","gosse, ulrich",11
aves_aa_4R_auth_0023,"['aves_aa_4R_1400_0051', 'aves_aa_4R_1402_0050', 'aves_aa_4R_1413_0050', 'aves_aa_4R_1416_0051']","[nan, nan, nan, nan]","[1400, 1402, 1413, 1416]","['conseiller_des_tisserands', 'conseiller_des_tisserands', 'conseiller_des_tisserands', 'conseiller_des_tisserands']","['Claus von Ingenheim', 'Claus Ingenheim', 'Claus Ingenheim', 'Claus Ingenheim']","['claus', 'claus', 'claus', 'claus']","['ingenheim, von', 'ingenheim', 'ingenheim', 'ingenheim']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_tisserands', 'corporation_des_tisserands', 'corporation_des_tisserands', 'corporation_des_tisserands']","[nan, nan, nan, nan]","[131, 133, 144, 147]","[nan, nan, nan, nan]","[14, 13, 14, 15]","ingenheim, von, claus",4
aves_aa_4R_auth_0024,"['aves_aa_4R_1400_0052', 'aves_aa_4R_1405_0052', 'aves_aa_4R_1414_0052', 'aves_aa_4R_1424_0039']","[nan, nan, nan, nan]","[1400, 1405, 1414, 1424]","['conseiller_des_gourmets_et_courtiers', 'conseiller_des_gourmets_et_courtiers', 'conseiller_des_gourmets_et_courtiers', 'conseiller_des_gourmets_et_courtiers']","['Hanns Diether', 'Hanns Diether', 'Hanns Diether', 'Hanns Diether']","['johanns', 'johanns', 'johanns', 'johanns']","['diether', 'diether', 'diether', 'diether']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_gourmets_et_courtiers', 'corporation_des_gourmets_et_courtiers', 'corporation_des_gourmets_et_courtiers', 'corporation_des_gourmets_et_courtiers']","[nan, nan, nan, nan]","[131, 136, 145, 155]","[nan, nan, nan, nan]","[15, 14, 15, 1]","diether, johanns",4
aves_aa_4R_auth_0025,"['aves_aa_4R_1400_0053', 'aves_aa_4R_1403_0053', 'aves_aa_4R_1405_0053', 'aves_aa_4R_1413_0052']","[nan, nan, nan, nan]","[1400, 1403, 1405, 1413]","['conseiller_des_charrons', 'conseiller_des_charrons', 'conseiller_des_charrons', 'conseiller_des_charrons']","['Claus Dingesheim', 'Claus Dingesheim', 'Claus Dingesheim', 'Claus Dingesheim']","['claus', 'claus', 'claus', 'claus']","['dingsheim', 'dingsheim', 'dingsheim', 'dingsheim']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_charrons', 'corporation_des_charrons', 'corporation_des_charrons', 'corporation_des_charrons']","[nan, nan, nan, nan]","[131, 134, 136, 144]","[nan, nan, nan, nan]","[16, 17, 15, 16]","dingsheim, claus",4
aves_aa_4R_auth_0026,"['aves_aa_4R_1400_0054', 'aves_aa_4R_1406_0053']","[nan, nan]","[1400, 1406]","['conseiller_des_regrattiers_cordiers_et_fruitiers', 'conseiller_des_regrattiers_cordiers_et_fruitiers']","['Peter von Hagenöwe', 'Peter Seyler von Hagenöwe']","['peter', 'peter']","['hagenau, von', 'seiler']","[nan, 'hagenau, von']","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_regrattiers_cordiers_et_fruitiers', 'corporation_des_regrattiers_cordiers_et_fruitiers']","[nan, nan]","[131, 137]","[nan, nan]","[17, 11]","hagenau, von, peter",2
aves_aa_4R_auth_0027,"['aves_aa_4R_1400_0055', 'aves_aa_4R_1403_0055', 'aves_aa_4R_1405_0055', 'aves_aa_4R_1410_0055', 'aves_aa_4R_1414_0055']","[nan, nan, nan, nan, nan]","[1400, 1403, 1405, 1410, 1414]","['conseiller_des_coltineurs_de_tonneaux', 'conseiller_des_coltineurs_de_tonneaux', 'conseiller_des_coltineurs_de_tonneaux', 'conseiller_des_coltineurs_de_tonneaux', 'conseiller_des_coltineurs_de_tonneaux']","['Cüntz Stahel', 'Cüntz Stahel', 'Cüntz Stahel', 'Cüntz Stahel', 'Cuntz Stahel']","['küntz', 'küntz', 'küntz', 'küntz', 'küntz']","['stachel', 'stachel', 'stachel', 'stachel', 'stachel']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_coltineurs_de_tonneaux', 'corporation_des_coltineurs_de_tonneaux', 'corporation_des_coltineurs_de_tonneaux', 'corporation_des_coltineurs_de_tonneaux', 'corporation_des_coltineurs_de_tonneaux']","[nan, nan, nan, nan, nan]","[131, 134, 136, 141, 145]","[nan, nan, nan, nan, nan]","[18, 19, 17, 17, 18]","stachel, küntz",5
aves_aa_4R_auth_0028,"['aves_aa_4R_1400_0056', 'aves_aa_4R_1405_0056', 'aves_aa_4R_1409_0056', 'aves_aa_4R_1413_0055', 'aves_aa_4R_1415_0055', 'aves_aa_4R_1420_0043', 'aves_aa_4R_1426_0042', 'aves_aa_4R_1428_0042', 'aves_aa_4R_1430_0042', 'aves_aa_4R_1435_0042']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[1400, 1405, 1409, 1413, 1415, 1420, 1426, 1428, 1430, 1435]","['conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux', 'conseiller_des_constructeurs_de_bateaux']","['Hug Klye am Staden', 'Hug Klye', 'Hug Klye', 'Hug Klye', 'Hug Klye', 'Hug Klye', 'Hug Klye', 'Hug Klye', 'Hug Kl?e', 'Hug Klye']","['hug', 'hug', 'hug', 'hug', 'hug', 'hug', 'hug', 'hug', 'hug', 'hug']","['klige', 'klige', 'klige', 'klige', 'klige', 'klige', 'klige', 'klige', 'klige', 'klige']","['staden, am', nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux', 'corporation_des_constructeurs_de_bateaux']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[131, 136, 140, 144, 146, 151, 157, 159, 161, 166]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[19, 18, 18, 19, 18, 5, 4, 3, 6, 6]","klige, hug",10
aves_aa_4R_auth_0029,"['aves_aa_4R_1400_0057', 'aves_aa_4R_1402_0056', 'aves_aa_4R_1404_0057']","[nan, nan, nan]","[1400, 1402, 1404]","['conseiller_des_huiliers_meuniers_et_tondeurs_de_draps', 'conseiller_des_huiliers_meuniers_et_tondeurs_de_draps', 'conseiller_des_huiliers_meuniers_et_tondeurs_de_draps']","['Walther Rynöwe', 'Walther Rinowe', 'Walther Rinowe']","['walther', 'walther', 'walther']","['rhinau', 'rhinau', 'rhinau']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_huiliers_meuniers_et_tondeurs_de_draps', 'corporation_des_huiliers_meuniers_et_tondeurs_de_draps', 'corporation_des_huiliers_meuniers_et_tondeurs_de_draps']","[nan, nan, nan]","[131, 133, 135]","[nan, nan, nan]","[20, 19, 17]","rhinau, walther",3
aves_aa_4R_auth_0030,"['aves_aa_4R_1401_0005', 'aves_aa_4R_1403_0040', 'aves_aa_4R_1405_0040', 'aves_aa_4R_1409_0040', 'aves_aa_4R_1411_0039']","[nan, nan, nan, nan, nan]","[1401, 1403, 1405, 1409, 1411]","['ammeister', 'conseiller_des_bateliers', 'conseiller_des_bateliers', 'conseiller_des_bateliers', 'conseiller_des_bateliers']","['her Peter Sünner der ammeister', 'her Peter Sünner', 'her Peter Sünner', 'her Peter Sunner', 'her Peter Sunner']","['peter', 'peter', 'peter', 'peter', 'peter']","['sünner', 'sünner', 'sünner', 'sünner', 'sünner']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[""['her', 'ammeister']"", ""['her']"", ""['her']"", ""['her']"", ""['her']""]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","[nan, 'corporation_des_bateliers', 'corporation_des_bateliers', 'corporation_des_bateliers', 'corporation_des_bateliers']","[nan, nan, nan, nan, nan]","[132, 134, 136, 140, 142]","[nan, nan, nan, nan, nan]","[5, 4, 2, 2, 2]","sünner, peter",5
aves_aa_4R_auth_0031,"['aves_aa_4R_1401_0030', 'aves_aa_4R_1403_0030', 'aves_aa_4R_1405_0005', 'aves_aa_4R_1409_0005', 'aves_aa_4R_1411_0029', 'aves_aa_4R_1413_0005', 'aves_aa_4R_1415_0029', 'aves_aa_4R_1417_0031', 'aves_aa_4R_1419_0005', 'aves_aa_4R_1420_0017', 'aves_aa_4R_1422_0017', 'aves_aa_4R_1424_0017', 'aves_aa_4R_1426_0005']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[1401, 1403, 1405, 1409, 1411, 1413, 1415, 1417, 1419, 1420, 1422, 1424, 1426]","['conseiller_des_marchands', 'conseiller_des_marchands', 'ammeister', 'ammeister', 'conseiller_des_marchands', 'ammeister', 'conseiller_des_marchands', 'conseiller_des_marchands', 'ammeister', 'conseiller_des_marchands', 'conseiller_des_marchands', 'conseiller_des_marchands', 'ammeister']","['her Rüllin Barpfennig altammeister', 'her Rüllin Barpfennig', 'her Rüllin Barpfennig der ammeister', 'her Rüllin Barpfennig der ammeister', 'her Rüllin Barpfennig', 'her Ru?llin Barpfennig der ammeister', 'her Rüllin Barpfennig', 'her Ru?llin Barpfennig', 'her Ru?llin Barpfennig der ammeister', 'her Rullin Barpfennig', 'her Ru?llin Barpfennig', 'her Ru?llin Barpfennig', 'her Ru?llin Barpfennig der ammeister']","['ruhlemann', 'ruhlemann', 'ruhlemann', 'ruhlemann', 'ruhlemann', 'ruhlemann', '', 'ruhlemann', 'ruhlemann', 'ruhlemann', 'ruhlemann', 'ruhlemann', 'ruhlemann']","['barpfennig', 'barpfennig', 'barpfennig', 'barpfennig', 'barpfennig', 'barpfennig', 'rüllin', 'barpfennig', 'barpfennig', 'barpfennig', 'barpfennig', 'barpfennig', 'barpfennig']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[""['her', 'altammeister']"", ""['her']"", ""['her', 'ammeister']"", ""['her', 'ammeister']"", ""['her']"", ""['her', 'ammeister']"", ""['her']"", ""['her']"", ""['her', 'ammeister']"", ""['her']"", ""['her']"", ""['her']"", ""['her', 'ammeister']""]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_marchands', 'corporation_des_marchands', nan, nan, 'corporation_des_marchands', nan, 'corporation_des_marchands', 'corporation_des_marchands', nan, 'corporation_des_marchands', 'corporation_des_marchands', 'corporation_des_marchands', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[132, 134, 136, 140, 142, 144, 146, 148, 150, 151, 153, 155, 157]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[29, 30, 5, 5, 30, 5, 29, 32, 5, 17, 17, 17, 5]","barpfennig, ruhlemann",13
