RangConseil,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne,Unnamed: 0
45,aves_aa_4R_1402_0046,1402,conseiller_des_jardiniers,Hanns Bock,johanns,bock,,,,echevinat,corporation_des_jardiniers,,133,2,9,46.0
46,aves_aa_4R_1402_0047,1402,conseiller_des_pêcheurs,Hensel Lamb am Tich,hensel,lamb,"teich, am",,,echevinat,corporation_des_pêcheurs,,133,2,10,47.0
47,aves_aa_4R_1402_0048,1402,conseiller_des_barbiers_et_baigneurs,Hanns Obreht an der Schintbrucke,johanns,obrecht,"schintbrücke, an der",,,echevinat,corporation_des_barbiers_et_baigneurs,,133,2,11,48.0
48,aves_aa_4R_1402_0049,1402,conseiller_des_sauniers,Leonhart Schmit zü Trachenfeils,lienhart,schmied,"trachenfeils, zu",,,echevinat,corporation_des_sauniers,,133,2,12,49.0
49,aves_aa_4R_1402_0050,1402,conseiller_des_tisserands,Claus Ingenheim,claus,ingenheim,,,,echevinat,corporation_des_tisserands,,133,2,13,50.0
50,aves_aa_4R_1402_0051,1402,conseiller_des_gourmets_et_courtiers,Hanns Schencke,johanns,schenck,,,,echevinat,corporation_des_gourmets_et_courtiers,,133,2,14,51.0
51,aves_aa_4R_1402_0052,1402,conseiller_des_charrons,Hanns Steck,johanns,steck,,,,echevinat,corporation_des_charrons,,133,2,15,52.0
52,aves_aa_4R_1402_0053,1402,conseiller_des_regrattiers_cordiers_et_fruitiers,Claus Steingewürck,claus,steingewerck,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,133,2,16,53.0
53,aves_aa_4R_1402_0054,1402,conseiller_des_coltineurs_de_tonneaux,Johanns Mörlin,johanns,mörlin,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,133,2,17,54.0
54,aves_aa_4R_1402_0055,1402,conseiller_des_constructeurs_de_bateaux,Claus Altheim,claus,altheim,,,,echevinat,corporation_des_constructeurs_de_bateaux,,133,2,18,55.0
55,aves_aa_4R_1402_0056,1402,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Walther Rinowe,walther,rhinau,,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,133,2,19,56.0
4,aves_aa_4R_1403_0005,1403,ammeister,her Johanns Heilman der ammeister,johanns,heilmann,,,"['her', 'ammeister']",echevinat,,,134,1,5,5.0
29,aves_aa_4R_1403_0030,1403,conseiller_des_marchands,her Rüllin Barpfennig,ruhlemann,barpfennig,,,['her'],echevinat,corporation_des_marchands,,134,1,30,30.0
30,aves_aa_4R_1403_0031,1403,conseiller_des_boulangers,Jacop von Geispoltzheim,jacob,"geispoltzheim, von",,,,echevinat,corporation_des_boulangers,,134,1,31,31.0
31,aves_aa_4R_1403_0032,1403,conseiller_des_bouchers,Peter Museler,peter,müseler,,,,echevinat,corporation_des_bouchers,,134,1,32,32.0
32,aves_aa_4R_1403_0033,1403,conseiller_des_drapiers,Obreht Armbruster,obrecht,armbruster,,,,echevinat,corporation_des_drapiers,,134,1,33,33.0
33,aves_aa_4R_1403_0034,1403,conseiller_des_tonneliers,Diemar Cüntzlin züm Bosser,diethmar,küntzlin,"bosser, zum",,,echevinat,corporation_des_tonneliers,,134,1,34,34.0
34,aves_aa_4R_1403_0035,1403,conseiller_des_tanneurs,Gerbot von Kirwilre,gerbot,"kirwiller, von",,,,echevinat,corporation_des_tanneurs,,134,1,35,35.0
35,aves_aa_4R_1403_0036,1403,conseiller_des_cabaretiers,Heil Wahssicher,heilmann,wassicher,,,,echevinat,corporation_des_cabaretiers,,134,1,36,36.0
36,aves_aa_4R_1403_0037,1403,conseiller_des_maçons,Lauwlin Rülman,lauwel,ruhlmann,,,,echevinat,corporation_des_maçons,,134,2,1,37.0
37,aves_aa_4R_1403_0038,1403,conseiller_des_forgerons,Herman Lorer,hermann,lorer,,,,echevinat,corporation_des_forgerons,,134,2,2,38.0
38,aves_aa_4R_1403_0039,1403,conseiller_des_tailleurs,Johanns Miltemberg,johanns,miltenberg,,,,echevinat,corporation_des_tailleurs,,134,2,3,39.0
39,aves_aa_4R_1403_0040,1403,conseiller_des_bateliers,her Peter Sünner,peter,sünner,,,['her'],echevinat,corporation_des_bateliers,,134,2,4,40.0
40,aves_aa_4R_1403_0041,1403,conseiller_des_pelletiers,Hanns Vogt,johanns,vogt,,,,echevinat,corporation_des_pelletiers,,134,2,5,41.0
41,aves_aa_4R_1403_0042,1403,conseiller_des_charpentiers,Otteman Münch,ottemann,münch,,,,echevinat,corporation_des_charpentiers,,134,2,6,42.0
42,aves_aa_4R_1403_0043,1403,conseiller_des_crieurs_et_mesureurs_de_vin,Jacob Beildeck,jacob,beildeck,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,134,2,7,43.0
43,aves_aa_4R_1403_0044,1403,conseiller_des_cordonniers,Oberlin Hering,oberlin,herring,,,,echevinat,corporation_des_cordonniers,,134,2,8,44.0
44,aves_aa_4R_1403_0045,1403,conseiller_des_orfevres,Johanns Waltenheim,johanns,waltenheim,,,,echevinat,corporation_des_orfevres,,134,2,9,45.0
45,aves_aa_4R_1403_0046,1403,conseiller_des_marchands_de_grains,Michel Melbrü,michel,melbrühe,,,,echevinat,corporation_des_marchands_de_grains,,134,2,10,46.0
46,aves_aa_4R_1403_0047,1403,conseiller_des_jardiniers,Hanns Martin,johanns,martin,,,,echevinat,corporation_des_jardiniers,,134,2,11,47.0
47,aves_aa_4R_1403_0048,1403,conseiller_des_pêcheurs,Cüntz Mönchlin,küntz,mönchelin,,,,echevinat,corporation_des_pêcheurs,,134,2,12,48.0
48,aves_aa_4R_1403_0049,1403,conseiller_des_barbiers_et_baigneurs,Marx Rorer,marx,rohrer,,,,echevinat,corporation_des_barbiers_et_baigneurs,,134,2,13,49.0
49,aves_aa_4R_1403_0050,1403,conseiller_des_sauniers,Claus Rüllin,claus,rüllin,,,,echevinat,corporation_des_sauniers,,134,2,14,50.0
50,aves_aa_4R_1403_0051,1403,conseiller_des_tisserands,Jecklin Wecker,jeckel,wecker,,,,echevinat,corporation_des_tisserands,,134,2,15,51.0
51,aves_aa_4R_1403_0052,1403,conseiller_des_gourmets_et_courtiers,Erhart Nesselbach,erhart,nesselbach,,,,echevinat,corporation_des_gourmets_et_courtiers,,134,2,16,52.0
52,aves_aa_4R_1403_0053,1403,conseiller_des_charrons,Claus Dingesheim,claus,dingsheim,,,,echevinat,corporation_des_charrons,,134,2,17,53.0
53,aves_aa_4R_1403_0054,1403,conseiller_des_regrattiers_cordiers_et_fruitiers,Lauwlin Hünrer,lauwel,hühnerer,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,134,2,18,54.0
54,aves_aa_4R_1403_0055,1403,conseiller_des_coltineurs_de_tonneaux,Cüntz Stahel,küntz,stachel,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,134,2,19,55.0
55,aves_aa_4R_1403_0056,1403,conseiller_des_constructeurs_de_bateaux,"Jacob Altheim, Claus sün",jacob,altheim,,,,echevinat,corporation_des_constructeurs_de_bateaux,,134,2,20,56.0
56,aves_aa_4R_1403_0057,1403,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Walther Olman,walther,ölmann,,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,134,2,21,57.0
4,aves_aa_4R_1404_0005,1404,ammeister,her Wilhelm Metziger der                      ammeister,wilhelm,metziger,,,"['her', 'ammeister']",echevinat,,,135,1,5,5.0
29,aves_aa_4R_1404_0030,1404,conseiller_des_marchands,Johanns Barpfennig,johanns,barpfennig,,,,echevinat,corporation_des_marchands,,135,1,30,30.0
30,aves_aa_4R_1404_0031,1404,conseiller_des_boulangers,Johanns pfister Sant Thoman,johanns,,sankt-thoman,,['pfister'],echevinat,corporation_des_boulangers,,135,1,31,31.0
31,aves_aa_4R_1404_0032,1404,conseiller_des_bouchers,Laulin Fritel,lauwel,friedel,,,,echevinat,corporation_des_bouchers,,135,1,32,32.0
32,aves_aa_4R_1404_0033,1404,conseiller_des_drapiers,Peter Wyngersheim,peter,wingersheim,,,,echevinat,corporation_des_drapiers,,135,1,33,33.0
33,aves_aa_4R_1404_0034,1404,conseiller_des_tonneliers,Johanns Kammerer,johanns,kammerer,,,,echevinat,corporation_des_tonneliers,,135,1,34,34.0
34,aves_aa_4R_1404_0035,1404,conseiller_des_tanneurs,Ülrich Isenhusen,ulrich,issenhausen,,,,echevinat,corporation_des_tanneurs,,135,1,35,35.0
35,aves_aa_4R_1404_0036,1404,conseiller_des_cabaretiers,Anshelm Spirer,anshelm,spirer,,,,echevinat,corporation_des_cabaretiers,,135,1,36,36.0
36,aves_aa_4R_1404_0037,1404,conseiller_des_maçons,Erhart Kindelin,erhart,kindelin,,,,echevinat,corporation_des_maçons,,135,1,37,37.0
37,aves_aa_4R_1404_0038,1404,conseiller_des_forgerons,Johanns Lorer,johanns,lorer,,,,echevinat,corporation_des_forgerons,,135,1,38,38.0
38,aves_aa_4R_1404_0039,1404,conseiller_des_tailleurs,Johanns Menniger,johanns,menniger,,,,echevinat,corporation_des_tailleurs,,135,1,39,39.0
39,aves_aa_4R_1404_0040,1404,conseiller_des_bateliers,Johanns Karle,johanns,kacheler,,,,echevinat,corporation_des_bateliers,,135,1,40,40.0
40,aves_aa_4R_1404_0041,1404,conseiller_des_pelletiers,Johanns Münchlin,johanns,mönchelin,,,,echevinat,corporation_des_pelletiers,,135,2,1,41.0
41,aves_aa_4R_1404_0042,1404,conseiller_des_charpentiers,Lauwlin von Oberkirch,lauwel,"oberkirch, von",,,,echevinat,corporation_des_charpentiers,,135,2,2,42.0
42,aves_aa_4R_1404_0043,1404,conseiller_des_crieurs_et_mesureurs_de_vin,Leonhart Heischer,lienhart,heischer,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,135,2,3,43.0
43,aves_aa_4R_1404_0044,1404,conseiller_des_cordonniers,Johanns Pfowe,johanns,pfau,,,,echevinat,corporation_des_cordonniers,,135,2,4,44.0
44,aves_aa_4R_1404_0045,1404,conseiller_des_orfevres,Peter Honowe,peter,honau,,,,echevinat,corporation_des_orfevres,,135,2,5,45.0
45,aves_aa_4R_1404_0046,1404,conseiller_des_marchands_de_grains,Johanns Berner,johanns,berner,,,,echevinat,corporation_des_marchands_de_grains,,135,2,6,46.0
46,aves_aa_4R_1404_0047,1404,conseiller_des_jardiniers,Andres Natteler,andres,natteler,,,,echevinat,corporation_des_jardiniers,,135,2,7,47.0
47,aves_aa_4R_1404_0048,1404,conseiller_des_pêcheurs,Hanns Swicker,johanns,schwicker,,,,echevinat,corporation_des_pêcheurs,,135,2,8,48.0
48,aves_aa_4R_1404_0049,1404,conseiller_des_barbiers_et_baigneurs,Johanns Albreht an der Schintbrucken,johanns,albrecht,"schintbrücke, an der",,,echevinat,corporation_des_barbiers_et_baigneurs,,135,2,9,49.0
49,aves_aa_4R_1404_0050,1404,conseiller_des_sauniers,her Ülrich Gosse,ulrich,gosse,,,['her'],echevinat,corporation_des_sauniers,,135,2,10,50.0
50,aves_aa_4R_1404_0051,1404,conseiller_des_tisserands,Heintz Messinger,heintz,messinger,,,,echevinat,corporation_des_tisserands,,135,2,11,51.0
51,aves_aa_4R_1404_0052,1404,conseiller_des_gourmets_et_courtiers,Henselin Girbaden,hensel,girbaden,,,,echevinat,corporation_des_gourmets_et_courtiers,,135,2,12,52.0
52,aves_aa_4R_1404_0053,1404,conseiller_des_charrons,Reinhart im Brüch,reinhart,,"bruch, im",,,echevinat,corporation_des_charrons,,135,2,13,53.0
53,aves_aa_4R_1404_0054,1404,conseiller_des_regrattiers_cordiers_et_fruitiers,Claus Steingewürck,claus,steingewerck,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,135,2,14,54.0
54,aves_aa_4R_1404_0055,1404,conseiller_des_coltineurs_de_tonneaux,Claus Wilgottheim,claus,willgottheim,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,135,2,15,55.0
55,aves_aa_4R_1404_0056,1404,conseiller_des_constructeurs_de_bateaux,Leonhart Bobst,lienhart,bobst,,,,echevinat,corporation_des_constructeurs_de_bateaux,,135,2,16,56.0
56,aves_aa_4R_1404_0057,1404,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Walther Rinowe,walther,rhinau,,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,135,2,17,57.0
4,aves_aa_4R_1405_0005,1405,ammeister,her Rüllin Barpfennig der                      ammeister,ruhlemann,barpfennig,,,"['her', 'ammeister']",echevinat,,,136,1,5,5.0
29,aves_aa_4R_1405_0030,1405,conseiller_des_marchands,Erhart von Rotwil,erhart,"rottweil, von",,,,echevinat,corporation_des_marchands,,136,1,30,30.0
30,aves_aa_4R_1405_0031,1405,conseiller_des_boulangers,Wernlin von Hagenowe,wernher,"hagenau, von",,,,echevinat,corporation_des_boulangers,,136,1,31,31.0
31,aves_aa_4R_1405_0032,1405,conseiller_des_bouchers,Wilhelm von Berse,wilhelm,"berse, von",,,,echevinat,corporation_des_bouchers,,136,1,32,32.0
32,aves_aa_4R_1405_0033,1405,conseiller_des_drapiers,her Johanns Heilman,johanns,heilmann,,,['her'],echevinat,corporation_des_drapiers,,136,1,33,33.0
33,aves_aa_4R_1405_0034,1405,conseiller_des_tonneliers,Walther Schanlit,walther,schanlit,,,,echevinat,corporation_des_tonneliers,,136,1,34,34.0
34,aves_aa_4R_1405_0035,1405,conseiller_des_tanneurs,Fritsch Wisgerwer,fritsch,weissgerber,,,,echevinat,corporation_des_tanneurs,,136,1,35,35.0
35,aves_aa_4R_1405_0036,1405,conseiller_des_cabaretiers,Claus Wurmsser,claus,wormser,,,,echevinat,corporation_des_cabaretiers,,136,1,36,36.0
36,aves_aa_4R_1405_0037,1405,conseiller_des_maçons,Erhart von Hagenowe,erhart,"hagenau, von",,,,echevinat,corporation_des_maçons,,136,1,37,37.0
37,aves_aa_4R_1405_0038,1405,conseiller_des_forgerons,Eberlin Stegeman,eberhart,stegemann,,,,echevinat,corporation_des_forgerons,,136,1,38,38.0
